CreditScore;Age;Tenure;EstimatedSalary;Exited
592;54;8;28737,71;1
726;31;9;98178,57;0
514;30;7;125010,24;0
567;42;2;167984,61;0
850;33;10;4861,72;1
671;45;6;108872,45;1
670;37;4;198252,88;0
694;30;9;26960,31;0
547;39;6;85746,52;1
751;50;2;77206,25;1
594;29;3;61048,53;0
673;72;1;111981,19;0
610;40;0;62232,6;0
512;37;1;156105,03;0
767;20;3;150135,38;0
585;67;5;93146,11;0
763;42;6;33462,94;1
712;29;2;144375,0;0
539;43;3;55803,96;1
668;46;2;89048,46;1
703;28;2;162812,16;0
662;38;4;136259,65;0
725;39;5;124052,97;0
703;37;8;74158,8;0
659;67;6;45071,09;1
523;34;7;62030,06;0
635;40;10;131953,23;1
772;26;7;79414,0;0
545;26;1;199638,56;0
634;24;8;157577,29;0
739;54;8;134420,75;1
771;36;5;99805,99;0
587;34;1;97932,68;0
681;79;0;170968,99;0
544;37;2;57558,95;0
696;28;8;176713,47;0
766;41;0;34283,23;0
727;34;10;198637,34;0
671;34;6;156917,12;0
693;30;6;50457,2;0
850;38;3;140075,55;0
732;42;9;65323,11;0
726;48;6;64323,24;0
557;32;6;14956,44;0
682;26;0;111879,21;0
738;31;9;18606,23;0
531;36;9;123137,01;0
498;34;2;148528,24;0
651;36;7;13898,31;0
549;39;7;81259,25;1
791;35;7;161051,75;0
650;41;9;191599,67;0
733;34;3;48559,19;1
811;34;1;186339,74;0
707;30;8;33159,37;0
712;28;4;93883,53;0
706;37;7;110899,3;0
756;62;3;11199,04;1
777;53;10;189992,97;0
646;35;6;164255,69;0
714;46;1;152167,79;1
782;39;8;33949,67;0
775;29;10;68143,93;0
479;35;4;47251,79;1
807;42;7;25885,72;0
799;22;8;192633,85;0
675;40;7;34577,36;0
602;29;5;161229,84;0
475;32;8;100816,29;0
744;26;5;181694,44;0
588;34;10;79078,91;0
703;42;9;137316,32;0
747;41;5;194926,86;0
583;27;7;51285,49;0
750;34;9;150401,53;1
681;38;3;112491,96;0
773;25;2;73656,38;0
714;31;4;106636,89;0
687;44;7;155853,52;1
511;58;0;162599,51;0
627;33;5;103737,82;0
694;31;10;160990,27;0
616;36;6;15462,84;0
687;35;8;10334,05;0
712;33;6;190686,16;0
553;33;4;94440,45;0
667;31;1;28257,63;0
731;43;2;170034,95;1
629;35;7;31824,29;0
614;50;4;127166,49;1
438;31;8;44937,01;0
652;80;4;188603,07;0
729;30;6;145111,37;0
642;38;3;171463,83;0
806;59;0;182822,5;0
744;36;2;87213,33;0
474;37;3;57175,32;0
559;49;2;120540,83;1
706;42;9;28714,34;0
628;22;3;85426,28;0
429;24;4;46170,75;0
525;57;2;64448,36;0
680;30;8;16278,97;0
749;40;1;182855,42;1
763;31;4;50404,72;0
734;30;3;107640,25;0
716;35;4;134132,65;0
594;35;2;103480,69;0
644;46;9;108761,05;1
671;35;1;179012,3;0
664;26;7;95145,14;0
656;50;7;72143,44;0
667;40;1;19162,89;0
663;44;2;144680,18;0
584;30;8;177772,03;1
626;37;6;5597,94;0
485;29;7;116828,51;1
659;32;3;174652,51;0
649;33;2;2010,98;0
805;39;5;14109,85;1
716;39;10;43527,4;1
642;40;6;86099,23;1
659;31;4;161574,19;0
545;47;5;38970,14;0
543;22;8;127587,22;0
718;25;7;30380,12;0
840;43;7;90908,95;0
630;34;9;138275,01;0
643;59;3;32171,79;0
654;32;1;126143,23;0
582;39;5;129892,93;0
659;32;3;102416,84;0
762;39;2;18719,67;0
568;32;7;61936,22;0
670;25;6;78358,94;0
613;45;1;147224,27;0
539;30;0;160979,66;0
850;57;8;132298,49;0
522;34;9;174248,52;1
737;41;1;123547,28;0
520;58;3;32790,02;0
706;28;3;181543,67;0
643;45;2;2319,96;1
648;50;9;189543,19;0
443;29;9;10940,4;0
640;68;9;199493,38;0
628;33;3;188193,25;0
540;42;9;172572,64;0
460;35;8;189339,6;0
636;34;2;53512,16;0
593;29;2;34004,44;0
801;42;4;10598,29;0
640;75;1;113428,77;0
611;31;0;183487,98;0
802;31;1;187658,09;0
717;35;7;172459,39;0
769;39;8;21016,0;0
745;45;10;122381,02;1
572;35;4;128123,66;0
629;30;2;19570,63;0
687;39;2;188150,6;1
483;50;9;111020,24;0
690;36;7;123775,15;0
492;30;10;146700,22;0
709;28;8;145251,35;0
705;44;3;82463,69;0
560;66;9;15928,49;0
611;46;6;45886,33;0
730;62;2;186489,95;0
709;45;2;162922,65;0
544;21;10;9262,77;0
712;29;7;84932,4;0
752;38;3;71557,12;0
648;46;9;77405,95;1
556;38;8;417,41;1
594;24;0;71405,17;0
645;37;2;153400,24;0
557;33;3;371,05;0
547;32;8;67789,99;0
701;39;9;145894,9;0
616;66;1;183840,51;1
605;52;1;108887,44;0
593;38;4;154071,27;0
751;52;8;179291,85;0
443;36;6;56937,43;0
685;23;8;112239,03;0
718;36;9;45909,87;0
538;49;9;173779,25;1
611;37;4;125696,26;0
668;37;10;159585,61;0
537;41;3;106761,47;0
709;23;10;129590,18;0
850;38;1;80006,65;0
745;31;3;140451,52;0
693;41;9;187929,43;1
795;35;8;167155,36;0
626;26;8;191420,71;0
487;61;5;11384,45;1
556;39;9;94898,1;0
643;46;6;106781,59;0
605;28;6;159508,52;0
756;60;3;93524,19;1
586;38;2;87168,46;0
535;40;7;8128,32;1
678;35;4;125518,32;0
596;39;9;48963,59;0
648;26;9;98368,24;0
492;39;10;148584,61;0
702;45;0;27474,81;0
486;40;9;76192,21;0
568;40;1;134600,94;1
619;57;3;72467,99;1
724;41;2;199645,45;0
548;33;0;42749,85;0
545;37;8;136050,44;1
683;33;8;73564,44;0
762;51;3;85578,63;0
627;30;4;129826,89;0
516;35;10;119666,0;0
800;38;2;68052,08;0
464;42;3;164104,74;0
626;35;3;80190,36;0
790;31;9;84126,75;0
534;34;7;70179,0;0
745;46;2;118024,1;0
553;47;3;145704,19;1
748;26;1;183049,41;0
722;37;2;120906,83;0
501;40;4;100433,83;0
675;38;6;138777,0;1
778;47;6;124694,99;0
494;38;7;40084,32;0
850;40;9;119232,33;0
592;31;7;43921,36;0
590;44;3;62222,81;0
758;39;6;56577,0;0
506;36;5;164253,35;0
733;33;3;7666,73;0
711;38;3;68487,51;0
514;43;1;199273,98;1
637;37;8;186062,36;0
468;29;1;195711,16;0
539;39;3;36692,17;0
509;25;3;106920,57;0
662;32;4;48725,68;1
818;26;4;167036,94;0
608;33;9;68777,26;0
850;32;9;18924,92;0
816;38;5;71905,77;1
536;35;8;64833,28;0
753;35;3;184843,77;0
631;27;10;176730,02;0
703;37;1;20629,4;1
774;26;2;28415,36;0
785;28;8;77231,27;0
571;33;1;102750,7;0
621;46;6;34580,8;1
605;31;1;183598,77;0
611;40;8;147358,27;0
569;38;7;108469,2;0
658;29;4;20612,82;0
788;34;6;181196,76;0
525;23;5;160249,1;0
798;37;8;110783,28;0
486;37;9;144995,33;0
615;61;9;150227,85;1
730;35;0;53718,28;0
641;37;7;75248,3;0
542;39;3;14353,43;1
692;30;2;130486,57;0
714;55;9;100127,71;0
591;29;1;196356,17;0
710;41;2;9983,88;0
639;38;4;118974,77;0
531;47;6;194998,34;1
673;38;2;134901,34;1
765;36;8;72924,56;0
622;32;6;101057,95;0
806;40;5;142838,64;0
757;26;8;127059,04;0
570;58;8;116503,92;1
555;32;4;54405,79;0
692;54;5;88721,84;0
774;60;5;74135,48;1
638;44;9;111346,22;0
543;41;4;194902,16;0
584;31;5;31474,27;0
691;30;7;21198,39;0
684;40;6;186976,6;0
733;22;5;117202,19;0
599;37;2;143739,29;0
524;31;10;161811,23;0
632;38;6;98090,91;0
735;34;5;71095,41;0
734;34;6;13107,24;0
605;51;3;67110,59;1
793;38;9;88225,02;0
468;56;10;62256,87;1
779;37;7;135925,72;0
698;48;4;177815,87;1
707;58;6;126471,13;0
850;35;1;188574,12;1
850;56;7;119175,45;0
527;37;5;139093,73;0
696;32;8;115916,55;0
661;48;3;96463,25;0
776;31;2;112349,51;0
701;43;2;165303,79;0
610;26;8;166031,08;0
572;48;3;38411,79;1
673;30;1;77783,35;0
519;57;2;29871,79;0
702;26;4;59747,63;0
729;32;6;79919,13;0
543;35;10;76773,53;0
550;40;7;54018,93;0
608;59;1;70649,64;1
639;35;10;59093,39;0
686;34;9;127569,8;0
564;62;5;18260,98;1
745;28;1;73275,96;1
833;37;8;136129,49;0
622;26;9;153237,59;0
597;42;4;106841,12;0
721;51;0;109078,35;1
504;49;7;87822,14;1
842;44;2;126644,98;0
587;38;0;47414,15;0
479;30;7;41879,99;0
508;49;7;75808,1;0
749;24;1;47911,03;0
721;36;3;28737,78;0
674;47;6;2079,2;1
685;25;10;121562,33;0
417;34;7;55003,79;0
574;33;3;193131,42;0
590;51;3;191932,27;1
587;40;5;159418,1;0
598;41;3;191468,78;1
741;53;3;38913,68;0
850;70;5;705,18;0
584;29;7;138490,03;0
650;61;1;82970,69;0
607;36;8;76744,72;0
509;46;1;71244,59;1
689;38;6;12182,15;0
543;36;4;141210,5;0
438;54;2;191763,07;1
687;63;1;37938,74;0
737;31;5;74890,58;0
761;31;7;166698,18;0
601;44;1;62678,53;0
651;45;1;67740,08;1
745;35;9;161519,77;0
648;49;10;159835,78;1
848;40;3;30876,84;0
546;27;8;14858,1;0
439;32;3;75685,97;0
755;30;4;144183,1;0
593;41;6;65170,66;0
701;39;2;82526,92;0
701;36;8;169161,46;0
607;33;2;109291,39;1
586;57;3;6057,81;0
547;30;9;77077,14;0
647;51;1;54954,51;1
760;51;2;179614,8;1
621;53;9;35588,07;1
725;44;5;117356,14;0
526;36;1;160696,72;0
519;47;6;147278,43;1
713;38;7;56594,36;1
700;38;8;1299,75;0
666;34;9;25095,03;0
630;32;4;146326,45;0
779;26;4;38296,21;0
611;41;2;164061,6;0
685;43;9;107811,28;0
646;39;9;30838,51;0
683;57;5;9221,78;1
484;34;4;33738,27;0
601;43;8;110916,15;1
762;26;7;169654,57;0
687;72;9;69829,4;0
566;30;5;54926,51;1
702;37;10;94728,49;0
601;29;9;80393,27;0
699;53;4;111307,98;0
584;28;10;19834,32;0
699;35;5;78397,24;0
698;51;2;86410,28;0
495;30;10;172749,65;0
650;27;6;1002,39;0
605;64;2;13601,79;0
667;38;1;77866,91;0
688;26;8;175296,76;0
727;31;0;121751,04;1
754;39;6;89593,26;0
612;62;8;193437,89;1
546;42;7;86945,0;0
673;37;8;183318,79;0
593;35;9;71154,1;0
656;40;10;151887,16;0
535;53;5;75888,65;0
678;36;3;89566,74;0
477;48;2;26475,79;0
850;35;7;126355,8;0
427;29;1;93839,3;0
752;49;2;7698,6;0
649;47;1;145593,85;0
799;28;3;45042,56;0
589;61;1;61108,56;1
583;54;6;57553,98;1
839;33;10;62674,42;0
540;44;3;12120,79;0
850;31;6;50129,87;1
696;51;5;55022,43;0
660;33;1;117834,91;0
682;48;1;168840,23;0
744;43;10;24234,11;0
785;36;4;190627,01;0
752;48;5;156618,38;1
706;29;5;42334,38;0
583;27;1;110784,42;0
660;39;5;173683,0;1
819;39;9;27046,46;1
673;34;8;20598,59;1
752;30;3;104991,28;0
578;38;7;8996,97;0
438;36;4;64420,5;0
652;38;6;145700,22;0
629;49;4;196335,48;0
720;52;7;14781,12;0
668;42;3;108139,23;0
459;48;4;19287,06;1
729;31;8;9567,39;0
498;25;8;132210,49;0
549;25;6;21600,11;0
601;54;1;199661,5;0
544;64;9;124341,49;0
751;30;6;15766,1;0
632;41;3;33642,21;0
694;57;8;117704,65;0
678;31;2;58803,28;0
695;46;4;137537,22;0
661;41;1;131300,68;0
661;33;9;84174,81;0
559;31;3;160941,78;0
503;29;3;143954,99;0
695;46;3;56297,85;0
640;42;5;8404,73;0
624;48;3;30020,09;0
667;42;9;58137,42;0
642;26;0;47472,68;0
640;32;6;19131,71;0
529;35;5;187288,5;0
563;39;5;17603,81;0
593;38;4;67020,03;0
739;45;7;147802,94;1
788;70;1;41610,62;0
684;38;3;44255,65;0
482;55;5;78416,14;0
591;58;5;137254,55;0
651;41;4;151303,48;0
749;40;8;86333,63;0
583;24;9;89801,9;0
661;42;2;29358,57;1
715;31;2;181600,72;0
769;45;5;124118,71;1
625;51;7;38867,46;1
641;36;5;31106,67;0
716;27;1;67611,36;0
767;43;1;77837,63;0
745;36;8;6078,46;0
589;34;6;177896,92;0
796;45;2;123882,73;0
664;57;6;15304,08;0
445;62;1;76569,64;1
543;57;1;120657,32;1
746;36;2;16436,56;0
742;33;0;107667,91;0
750;32;5;95611,47;0
669;30;7;19799,26;0
594;49;2;123214,74;0
574;36;1;71709,12;0
659;36;2;149066,14;0
750;40;5;20451,99;1
626;35;4;32825,5;0
620;42;4;6232,31;0
580;35;8;10357,03;0
686;34;3;147794,63;0
540;48;0;116973,48;0
634;35;6;129964,94;0
632;38;1;92816,86;0
501;41;3;172114,67;0
650;25;3;16649,31;1
786;34;9;144517,19;0
554;37;4;182038,6;0
701;42;5;24210,56;0
474;45;10;172175,9;0
621;43;5;47578,45;0
672;56;2;150694,42;1
459;42;6;177683,02;1
669;23;1;66088,83;0
776;38;2;169291,7;0
694;36;3;117140,41;0
787;42;10;79510,37;0
580;37;9;77108,66;0
711;25;7;9679,28;0
673;40;5;81753,92;0
499;57;1;131372,38;1
591;24;6;25310,82;0
769;25;10;187925,75;0
657;31;3;98820,39;0
738;43;9;64166,7;1
545;60;7;176924,21;1
497;47;6;90055,08;0
816;67;6;72814,31;0
525;36;2;168290,06;0
725;46;6;161767,38;0
692;28;8;44420,18;0
618;24;7;37147,61;0
546;24;8;125381,02;0
635;29;7;149853,89;0
611;49;2;161435,02;1
650;60;8;102925,76;0
606;40;5;70899,27;0
844;18;2;145936,28;0
450;46;5;54227,06;0
727;38;2;59280,79;0
460;46;4;126952,5;0
649;41;0;130567,02;0
758;47;9;73294,48;0
490;35;7;3937,37;0
815;37;2;2383,59;0
838;39;5;14279,44;0
803;31;9;141300,53;0
664;36;2;78140,75;0
736;28;2;117431,1;0
633;37;9;72008,61;0
664;58;5;60887,58;0
600;43;5;194764,83;0
693;35;5;88705,14;1
663;36;6;35817,97;1
742;21;1;31520,4;0
710;43;2;157908,19;1
710;27;2;142200,15;0
700;82;2;182055,36;0
720;60;9;157552,08;1
684;41;2;120284,67;0
531;63;1;24506,95;1
742;36;2;47271,61;1
717;31;4;41176,6;0
589;32;2;9468,64;0
767;36;3;123880,19;0
636;49;6;158887,09;1
648;33;7;117036,38;0
622;58;7;120415,61;1
692;28;9;16064,25;1
754;28;8;52615,62;0
679;35;8;121210,09;0
639;27;8;192247,35;0
774;28;1;68759,57;0
517;41;2;75937,47;0
571;35;8;84569,13;0
747;58;7;190696,35;1
792;36;5;67468,67;0
688;26;1;104435,94;0
714;42;2;47166,55;0
562;35;0;119899,52;0
704;48;8;173498,45;0
698;36;2;93249,26;0
611;49;3;142917,54;0
850;48;6;111755,8;0
743;34;1;108543,21;0
654;29;1;180345,44;0
761;36;8;99444,02;0
702;46;9;109563,28;0
488;32;3;92568,07;0
683;35;6;37976,36;0
601;42;9;103315,74;0
605;52;7;173952,5;0
671;44;0;34673,98;0
614;31;7;46163,44;0
511;29;9;140676,98;0
850;39;4;151738,54;0
790;46;9;14679,81;1
793;33;0;175544,02;0
628;69;5;181964,6;0
598;53;10;136886,86;0
657;37;6;122218,23;0
618;35;10;180439,75;0
681;65;7;190419,81;0
516;33;3;58685,59;0
421;28;8;89017,38;1
700;26;2;50051,42;0
745;25;5;146041,45;0
696;29;8;191166,09;0
580;42;2;103516,08;1
497;27;9;164825,04;0
720;43;6;172557,77;0
659;36;4;84320,94;0
841;36;5;122662,98;0
642;34;8;72085,1;0
732;69;9;110932,24;1
600;36;4;143635,36;0
464;33;8;3710,34;0
680;47;5;179843,33;0
758;56;1;10643,38;0
630;31;2;131167,98;0
577;39;10;10553,31;0
684;34;6;130928,22;0
708;41;5;157003,99;0
732;29;1;138527,56;0
634;37;3;167032,49;0
633;30;6;41642,29;0
559;34;2;9677,0;0
694;37;3;147012,22;0
686;56;5;80553,87;0
553;48;3;30730,95;1
507;36;4;140134,43;0
732;50;6;91936,1;1
818;31;1;178252,63;0
660;35;8;198674,08;0
773;41;5;28266,9;1
640;44;3;92381,01;0
505;49;7;135180,11;0
714;21;6;27330,59;0
468;42;5;125305,34;0
611;51;1;149648,45;0
705;25;0;59887,15;0
646;46;1;45041,32;0
667;48;1;113316,77;1
511;41;8;39087,42;0
653;43;6;7330,59;0
675;57;8;95463,29;0
523;32;4;167848,02;0
567;49;5;93953,84;1
741;39;7;174227,66;0
456;32;9;135399,21;0
598;64;1;195635,3;1
667;43;8;97508,04;1
548;32;2;188083,77;1
725;41;7;116704,25;0
717;53;6;97614,87;0
594;38;4;186884,04;0
678;25;10;131501,72;0
545;38;1;24302,95;0
636;48;1;110510,28;1
603;44;6;108488,33;1
435;36;4;197015,2;0
535;40;8;27689,77;0
629;45;7;9217,55;1
722;35;2;15068,18;0
561;28;7;7797,01;0
645;38;5;4400,32;0
501;39;9;182025,95;0
502;32;1;122763,95;0
652;42;4;38152,01;0
574;33;3;63163,99;0
518;45;9;73418,29;0
749;60;6;17978,68;1
679;43;4;115136,51;1
565;36;6;149575,59;0
643;45;4;60917,24;1
515;65;7;142548,33;0
521;25;7;157878,67;0
739;38;0;12796,43;0
585;42;2;18657,77;0
733;74;3;134589,58;0
542;43;8;10350,74;0
788;37;8;66013,27;0
435;32;2;5907,11;0
577;42;9;74077,91;0
703;51;3;77294,56;1
728;35;8;54359,02;1
728;32;5;156124,93;0
718;35;8;94820,85;0
621;40;6;155155,25;0
523;40;2;128702,1;1
657;25;2;22745,5;0
727;40;1;71865,31;1
643;36;7;84294,82;0
645;48;7;149139,13;0
568;28;5;185489,11;0
599;58;4;176407,15;1
672;45;9;92027,69;1
685;33;6;43932,54;0
516;46;1;115789,25;1
685;31;10;125777,28;0
806;25;7;18461,9;0
604;36;6;79633,38;0
648;53;6;121542,29;0
545;32;4;94739,2;0
756;27;1;93302,29;0
569;35;10;193793,78;0
596;47;6;74835,65;0
475;39;6;56999,9;1
646;45;3;57236,44;0
784;35;3;81483,64;0
552;45;9;26752,56;0
729;44;5;9200,54;0
609;61;1;22447,85;1
555;51;5;189122,89;1
572;19;1;16161,82;0
785;34;9;68600,36;0
714;36;1;447,73;0
738;35;3;15650,73;0
639;38;5;149599,62;0
520;61;8;90304,01;0
764;24;7;115676,38;0
661;39;6;38812,67;0
564;41;9;34338,21;0
708;42;8;823,36;0
512;36;1;135482,26;1
592;37;9;10656,89;0
619;38;3;116467,35;0
775;52;8;96823,32;1
850;44;5;171096,2;0
577;37;4;79881,39;0
724;37;10;157862,82;0
710;35;1;127951,81;0
696;31;8;191074,11;0
376;46;6;157333,69;1
675;29;8;133457,52;0
745;36;8;130789,6;0
697;25;5;128373,88;0
599;39;4;194273,2;1
715;38;5;5684,17;1
659;67;4;131043,2;0
684;48;3;21228,34;1
635;48;8;43250,3;0
789;33;8;4389,4;0
571;66;9;189271,9;0
694;39;0;102284,2;0
665;42;2;156774,94;1
706;44;4;69865,49;0
807;43;0;85523,24;0
771;67;8;51219,8;0
531;27;8;7222,92;0
629;37;6;23971,33;0
850;31;1;132173,31;0
685;35;4;113639,64;0
642;32;7;39768,59;0
529;63;4;108732,96;1
683;43;4;117349,19;1
663;42;5;78004,5;0
563;34;6;152417,79;0
637;34;9;26057,08;0
544;37;3;79972,09;0
649;70;9;107125,79;0
638;48;10;47679,14;0
723;25;3;134509,47;0
635;43;5;153265,31;0
750;38;7;179883,04;0
730;34;5;138882,98;0
750;36;8;9855,81;0
586;43;8;67046,83;1
520;38;4;56388,63;0
652;48;8;77764,37;0
550;46;7;130590,35;0
594;27;0;151912,49;0
749;44;0;151083,8;0
668;32;7;777,37;0
614;35;6;69454,24;1
773;25;1;11723,57;0
551;31;9;91565,25;0
566;36;1;79616,37;0
569;34;0;102299,81;1
659;31;7;104533,51;0
722;49;3;140765,57;1
655;37;5;66214,13;0
615;35;2;139816,1;0
752;42;3;140139,28;0
661;28;7;102297,15;0
838;43;9;145765,83;0
610;29;9;83912,24;0
811;44;3;78439,73;0
587;62;7;6776,92;0
811;28;4;9903,42;0
759;38;1;91561,91;0
648;42;8;4027,02;0
788;43;10;116111,51;0
725;39;1;184023,54;0
646;42;3;67124,48;1
601;26;7;50070,59;0
521;52;5;53793,1;1
561;33;6;45261,47;0
564;42;7;36721,4;0
444;45;6;130009,85;1
650;71;0;175380,77;0
724;40;10;127847,25;1
719;35;3;138231,7;0
548;29;4;48673,18;0
635;24;4;70668,77;0
496;43;3;199505,53;0
676;37;5;169583,18;1
541;40;7;49063,42;0
778;41;7;63337,19;0
850;45;5;60083,11;1
633;31;1;48606,71;0
625;49;6;165580,93;1
485;32;6;194010,12;0
547;48;1;69263,1;0
642;32;3;88698,83;0
718;25;4;63030,97;0
582;32;4;59668,81;0
628;33;6;184230,23;0
737;35;0;64050,19;0
828;34;9;81853,98;0
609;53;10;154642,91;0
730;39;1;145679,6;0
631;22;3;30781,77;0
830;40;4;81622,52;0
645;29;1;196474,35;0
663;46;3;176276,1;0
678;30;0;35113,08;0
521;30;2;64299,82;0
625;24;1;180969,55;0
523;30;1;138176,78;0
714;72;3;86733,61;0
580;67;3;7418,92;0
722;30;5;166376,54;0
630;39;7;140881,2;1
579;35;1;4460,2;0
670;38;4;110472,12;0
588;34;6;86460,28;0
807;42;1;16500,66;1
726;48;4;114020,06;1
812;25;5;131660,31;0
631;40;3;52449,62;1
682;30;4;161465,31;0
625;49;2;20018,79;0
607;38;3;176318,27;0
600;50;6;50488,91;0
602;22;7;30379,6;0
545;74;3;161326,73;0
675;33;3;45348,08;0
581;47;1;180251,68;1
640;33;8;34925,56;0
850;38;7;126555,74;0
490;48;8;187921,3;0
710;38;4;136390,88;0
613;38;9;78566,64;1
812;34;5;166038,27;0
723;20;4;140385,33;0
512;36;4;38629,3;1
731;52;10;24998,75;1
650;26;4;128815,33;0
594;57;6;19376,56;1
844;40;7;31904,31;1
686;47;5;173179,79;1
695;52;8;22485,64;0
624;23;6;196668,51;0
