Temperature,Fuel_Price,CPI,Unemployment,High_Sales
51.63,3.159,219.1794533,7.866,1
47.96,3.112,219.3577216,7.866,1
44.55,3.129,219.5359898,7.866,1
49.01,3.157,219.7142581,7.348,1
48.53,3.261,219.8925263,7.348,1
54.11,3.268,219.9856893,7.348,1
54.26,3.29,220.0788523,7.348,1
56.55,3.36,220.1720153,7.348,1
48.02,3.409,220.2651783,7.348,1
45.32,3.51,220.4257586,7.348,1
57.25,3.555,220.636902,7.348,1
60.96,3.63,220.8480454,7.348,1
58.76,3.669,221.0591887,7.348,1
64.74,3.734,221.2118132,7.348,1
65.93,3.787,221.2864126,7.348,1
67.61,3.845,221.3610119,7.348,1
70.43,3.891,221.4356112,7.143,1
69.07,3.891,221.5102105,7.143,1
66.76,3.877,221.5640737,7.143,1
67.23,3.814,221.6179368,7.143,1
75.55,3.749,221.6718,7.143,1
73.77,3.688,221.7256632,7.143,1
70.33,3.63,221.742674,7.143,1
77.22,3.561,221.744944,7.143,1
77.95,3.501,221.7472139,7.143,1
78.3,3.452,221.7494839,7.143,1
79.35,3.393,221.7626421,7.143,1
78.39,3.346,221.8030211,7.143,1
84.88,3.286,221.8434,7.143,1
81.57,3.227,221.8837789,6.908,1
77.12,3.256,221.9241579,6.908,1
80.42,3.311,221.9327267,6.908,1
82.66,3.407,221.9412954,6.908,1
86.11,3.417,221.9498642,6.908,1
85.05,3.494,221.9584329,6.908,1
84.85,3.571,222.0384109,6.908,1
77.66,3.62,222.1719457,6.908,1
80.49,3.638,222.3054805,6.908,1
83.96,3.73,222.4390153,6.908,1
74.97,3.717,222.5820193,6.908,1
69.87,3.721,222.7818386,6.908,1
76.08,3.666,222.9816579,6.908,1
68.55,3.617,223.1814772,6.573,1
62.99,3.601,223.3812965,6.573,1
67.97,3.594,223.4257233,6.573,1
69.16,3.506,223.4442513,6.573,1
40.19,2.572,210.7526053,8.324,1
38.49,2.548,210.8979935,8.324,1
39.69,2.514,210.9451605,8.324,1
46.1,2.561,210.9759573,8.324,1
47.17,2.625,211.0067542,8.324,1
57.56,2.667,211.037551,8.324,1
54.52,2.72,210.8733316,8.324,1
51.26,2.732,210.6766095,8.324,1
63.27,2.719,210.4798874,8.2,1
65.41,2.77,210.2831653,8.2,1
68.07,2.808,210.1495463,8.2,1
65.11,2.795,210.1000648,8.2,1
66.98,2.78,210.0505833,8.2,1
71.28,2.835,210.0011018,8.2,1
73.31,2.854,209.9984585,8.2,1
74.83,2.826,210.2768443,8.2,1
81.13,2.759,210.5552301,8.2,1
81.81,2.705,210.833616,8.2,1
83.4,2.668,211.1120018,8.2,1
85.81,2.637,211.1096543,8.2,1
86.26,2.653,210.9950134,8.2,1
82.74,2.669,210.8803726,8.099,1
82.59,2.642,210.7657317,8.099,1
85.32,2.623,210.7577954,8.099,1
87.66,2.608,210.8921319,8.099,1
83.49,2.64,211.0264684,8.099,1
89.53,2.627,211.1608049,8.099,1
89.05,2.692,211.2951413,8.099,1
88.7,2.664,211.2596586,8.099,1
87.12,2.619,211.2241759,8.099,1
81.83,2.577,211.1886931,8.099,1
79.09,2.565,211.1532104,8.099,1
82.05,2.582,211.1806415,8.099,1
81.79,2.624,211.2552578,8.099,1
69.24,2.603,211.3298742,8.163,1
63.19,2.633,211.4044906,8.163,1
65.8,2.72,211.4713286,8.163,1
68.5,2.725,211.5187208,8.163,1
66.24,2.716,211.5661131,8.163,1
57.85,2.689,211.6135053,8.163,1
59.69,2.728,211.6608975,8.163,1
50.81,2.771,211.5470304,8.163,1
62.98,2.735,211.4062867,8.163,1
49.33,2.708,211.265543,8.163,1
45.5,2.843,211.1247993,8.163,1
47.55,2.869,211.0645458,8.163,1
49.97,2.886,211.0646599,8.163,1
47.3,2.943,211.064774,8.163,1
44.69,2.976,211.0648881,8.028,1
33.02,2.983,211.1176713,8.028,1
41.4,3.016,211.4864691,8.028,1
42.83,3.01,211.8552668,8.028,1
38.25,2.989,212.2240646,8.028,1
33.19,3.022,212.5928624,8.028,1
57.83,3.045,212.9033115,8.028,1
60.8,3.065,213.190421,8.028,1
57.77,3.288,213.4775305,8.028,1
52.7,3.459,213.7646401,8.028,1
62.32,3.488,214.0156238,8.028,1
69.42,3.473,214.2521573,8.028,1
55.43,3.524,214.4886908,7.931,1
67.0,3.622,214.7252242,7.931,1
69.48,3.743,214.9420631,7.931,1
69.39,3.807,215.1096657,7.931,1
69.21,3.81,215.2772683,7.931,1
61.48,3.906,215.4448709,7.931,1
74.61,3.899,215.6124735,7.931,1
67.14,3.907,215.3834778,7.931,1
76.42,3.786,215.1544822,7.931,1
83.07,3.699,214.9254865,7.931,1
83.4,3.648,214.6964908,7.931,1
86.53,3.637,214.6513538,7.931,1
85.17,3.594,214.7441108,7.931,1
85.69,3.524,214.8368678,7.852,1
87.7,3.48,214.9296249,7.852,1
89.83,3.575,215.0134426,7.852,1
89.34,3.651,215.0749122,7.852,1
90.07,3.682,215.1363819,7.852,1
93.34,3.684,215.1978515,7.852,1
91.58,3.638,215.2593211,7.852,1
89.86,3.554,215.3229307,7.852,1
90.45,3.523,215.386897,7.852,1
89.64,3.533,215.4508632,7.852,1
77.97,3.546,215.5148295,7.852,1
78.85,3.526,215.6944378,7.852,1
75.58,3.467,216.0282356,7.852,1
78.14,3.355,216.3620333,7.852,1
69.92,3.285,216.6958311,7.441,1
71.67,3.274,217.0048261,7.441,1
64.53,3.353,217.1650042,7.441,1
65.87,3.372,217.3251824,7.441,1
55.53,3.332,217.4853605,7.441,1
59.33,3.297,217.6455387,7.441,1
62.01,3.308,217.8670218,7.441,1
56.36,3.236,218.1130269,7.441,1
48.74,3.172,218.3590319,7.441,1
41.76,3.158,218.605037,7.441,1
50.13,3.159,218.8217928,7.441,1
46.66,3.112,218.9995495,7.441,1
44.57,3.129,219.1773063,7.441,1
46.75,3.157,219.355063,7.057,1
45.99,3.261,219.5328198,7.057,1
51.7,3.268,219.6258417,7.057,1
50.5,3.29,219.7188636,7.057,1
55.21,3.36,219.8118854,7.057,1
46.98,3.409,219.9049073,7.057,1
43.82,3.51,220.0651993,7.057,1
54.63,3.555,220.275944,7.057,1
58.79,3.63,220.4866886,7.057,1
57.11,3.669,220.6974332,7.057,1
63.68,3.734,220.8498468,7.057,1
64.01,3.787,220.9244858,7.057,1
66.83,3.845,220.9991248,7.057,1
68.43,3.891,221.0737638,6.891,1
68.08,3.891,221.1484028,6.891,1
65.69,3.877,221.2021074,6.891,1
67.2,3.814,221.255812,6.891,1
76.73,3.749,221.3095166,6.891,1
73.87,3.688,221.3632212,6.891,1
71.27,3.63,221.380331,6.891,1
78.19,3.561,221.3828029,6.891,1
78.38,3.501,221.3852748,6.891,1
78.69,3.452,221.3877467,6.891,1
80.56,3.393,221.4009901,6.891,1
81.04,3.346,221.4411622,6.891,1
86.32,3.286,221.4813343,6.891,1
84.2,3.227,221.5215064,6.565,1
80.17,3.256,221.5616784,6.565,1
83.23,3.311,221.5701123,6.565,1
86.37,3.407,221.5785461,6.565,1
90.22,3.417,221.5869799,6.565,1
88.55,3.494,221.5954138,6.565,1
84.79,3.571,221.6751459,6.565,1
76.91,3.62,221.8083518,6.565,1
82.64,3.638,221.9415576,6.565,1
87.65,3.73,222.0747635,6.565,1
75.88,3.717,222.2174395,6.565,1
71.09,3.721,222.4169362,6.565,1
79.45,3.666,222.6164329,6.565,1
70.27,3.617,222.8159296,6.17,1
60.97,3.601,223.0154263,6.17,1
68.08,3.594,223.0598077,6.17,1
69.79,3.506,223.0783366,6.17,1
45.71,2.572,214.4248812,7.368,0
47.93,2.548,214.5747916,7.368,0
47.07,2.514,214.6198868,7.368,0
52.05,2.561,214.6475127,7.368,0
53.04,2.625,214.6751386,7.368,0
63.08,2.667,214.7027646,7.368,0
60.42,2.72,214.5301219,7.368,0
57.06,2.732,214.3241011,7.368,0
65.56,2.719,214.1180803,7.343,0
68.0,2.77,213.9120595,7.343,0
66.98,2.808,213.7726889,7.343,0
67.87,2.795,213.7221852,7.343,0
70.24,2.78,213.6716815,7.343,0
73.47,2.835,213.6211778,7.343,0
77.18,2.854,213.6196139,7.343,0
75.81,2.826,213.9116886,7.343,0
78.6,2.759,214.2037634,7.343,0
78.53,2.705,214.4958382,7.343,0
82.1,2.668,214.787913,7.343,0
83.52,2.637,214.7858259,7.343,0
83.79,2.653,214.6660741,7.343,0
82.2,2.669,214.5463222,7.346,0
81.75,2.642,214.4265704,7.346,0
84.32,2.623,214.4176476,7.346,0
83.32,2.608,214.5564968,7.346,0
82.04,2.64,214.695346,7.346,0
85.13,2.627,214.8341952,7.346,0
86.74,2.692,214.9730444,7.346,0
88.02,2.664,214.9314191,7.346,0
86.15,2.619,214.8897938,7.346,0
84.16,2.577,214.8481685,7.346,0
80.84,2.565,214.8065431,7.346,0
82.36,2.582,214.8322484,7.346,0
76.9,2.624,214.9084516,7.346,0
73.6,2.603,214.9846548,7.564,0
66.99,2.633,215.060858,7.564,0
69.71,2.72,215.1293114,7.564,0
71.64,2.725,215.17839,7.564,0
72.04,2.716,215.2274686,7.564,0
62.94,2.689,215.2765472,7.564,0
62.79,2.728,215.3256258,7.564,0
57.72,2.771,215.2074519,7.564,0
68.71,2.735,215.0614025,7.564,0
53.76,2.708,214.9153531,7.564,0
51.13,2.843,214.7693037,7.564,0
52.2,2.869,214.704919,7.564,0
57.16,2.886,214.7017828,7.564,0
53.2,2.943,214.6986466,7.564,0
53.35,2.976,214.6955104,7.551,0
44.76,2.983,214.7470729,7.551,0
50.74,3.016,215.1268275,7.551,0
48.71,3.01,215.5065821,7.551,0
45.95,2.989,215.8863367,7.551,0
43.57,3.022,216.2660913,7.551,0
61.58,3.045,216.5843571,7.551,0
67.4,3.065,216.8780275,7.551,0
65.11,3.288,217.1716979,7.551,0
61.29,3.459,217.4653683,7.551,0
69.47,3.488,217.7235226,7.551,0
72.94,3.473,217.9674705,7.551,0
68.76,3.524,218.2114184,7.574,0
72.55,3.622,218.4553663,7.574,0
75.88,3.743,218.6788642,7.574,0
76.91,3.807,218.851237,7.574,0
78.69,3.81,219.0236099,7.574,0
69.45,3.906,219.1959827,7.574,0
79.87,3.899,219.3683556,7.574,0
75.79,3.907,219.127216,7.574,0
84.41,3.786,218.8860765,7.574,0
84.29,3.699,218.6449369,7.574,0
84.84,3.648,218.4037974,7.574,0
86.96,3.637,218.3551748,7.574,0
84.94,3.594,218.45094,7.574,0
85.1,3.524,218.5467052,7.567,0
85.38,3.48,218.6424704,7.567,0
87.14,3.575,218.7275216,7.567,0
86.19,3.651,218.7857881,7.567,0
88.07,3.682,218.8440545,7.567,0
88.45,3.684,218.9023209,7.567,0
88.88,3.638,218.9605873,7.567,0
88.44,3.554,219.023271,7.567,0
87.67,3.523,219.0866908,7.567,0
89.12,3.533,219.1501106,7.567,0
81.72,3.546,219.2135305,7.567,0
83.63,3.526,219.3972867,7.567,0
80.19,3.467,219.7414914,7.567,0
82.58,3.355,220.085696,7.567,0
75.54,3.285,220.4299007,7.197,0
73.75,3.274,220.7486167,7.197,0
69.03,3.353,220.9144005,7.197,0
71.04,3.372,221.0801842,7.197,0
59.31,3.332,221.245968,7.197,0
61.7,3.297,221.4117517,7.197,0
63.91,3.308,221.6432852,7.197,0
68.0,3.236,221.9011185,7.197,0
54.97,3.172,222.1589519,7.197,0
49.26,3.158,222.4167852,7.197,0
57.95,3.159,222.6426418,7.197,0
53.41,3.112,222.8258628,7.197,0
48.29,3.129,223.0090839,7.197,0
52.42,3.157,223.1923049,6.833,0
51.86,3.261,223.3755259,6.833,0
56.2,3.268,223.4700552,6.833,0
58.06,3.29,223.5645845,6.833,0
59.33,3.36,223.6591137,6.833,0
51.65,3.409,223.753643,6.833,0
52.39,3.51,223.9170153,6.833,0
60.12,3.555,224.1320199,6.833,0
61.65,3.63,224.3470245,6.833,0
60.71,3.669,224.5620291,6.833,0
64.0,3.734,224.7166953,6.833,0
66.53,3.787,224.7909104,6.833,0
69.36,3.845,224.8651254,6.833,0
73.01,3.891,224.9393405,6.664,0
72.83,3.891,225.0135556,6.664,0
72.05,3.877,225.0689541,6.664,0
73.39,3.814,225.1243526,6.664,0
79.51,3.749,225.1797511,6.664,0
75.19,3.688,225.2351496,6.664,0
72.38,3.63,225.2512024,6.664,0
78.58,3.561,225.2515168,6.664,0
81.55,3.501,225.2518313,6.664,0
81.65,3.452,225.2521458,6.664,0
84.66,3.393,225.2644795,6.664,0
82.7,3.346,225.3068615,6.664,0
86.42,3.286,225.3492435,6.664,0
83.14,3.227,225.3916254,6.334,0
82.28,3.256,225.4340074,6.334,0
81.38,3.311,225.4438827,6.334,0
84.94,3.407,225.4537579,6.334,0
86.55,3.417,225.4636332,6.334,0
85.85,3.494,225.4735085,6.334,0
87.36,3.571,225.5558664,6.334,0
83.01,3.62,225.6925864,6.334,0
85.18,3.638,225.8293063,6.334,0
84.99,3.73,225.9660263,6.334,0
78.36,3.717,226.1122067,6.334,0
72.78,3.721,226.3151496,6.334,0
77.46,3.666,226.5180926,6.334,0
72.74,3.617,226.7210356,6.034,0
70.31,3.601,226.9239785,6.034,0
73.44,3.594,226.9688442,6.034,0
74.66,3.506,226.9873637,6.034,0
43.76,2.598,126.4420645,8.623,1
28.84,2.573,126.4962581,8.623,1
36.45,2.54,126.5262857,8.623,1
41.36,2.59,126.5522857,8.623,1
43.49,2.654,126.5782857,8.623,1
49.63,2.704,126.6042857,8.623,1
55.19,2.743,126.6066452,8.623,1
39.91,2.752,126.6050645,8.623,1
48.77,2.74,126.6034839,7.896,1
54.16,2.773,126.6019032,7.896,1
56.23,2.81,126.5621,7.896,1
56.87,2.805,126.4713333,7.896,1
53.04,2.787,126.3805667,7.896,1
56.77,2.836,126.2898,7.896,1
62.35,2.845,126.2085484,7.896,1
67.4,2.82,126.1843871,7.896,1
67.73,2.756,126.1602258,7.896,1
70.83,2.701,126.1360645,7.896,1
78.45,2.668,126.1119032,7.896,1
81.53,2.635,126.114,7.896,1
81.1,2.654,126.1266,7.896,1
73.66,2.668,126.1392,7.372,1
80.35,2.637,126.1518,7.372,1
78.53,2.621,126.1498065,7.372,1
79.78,2.612,126.1283548,7.372,1
80.7,2.65,126.1069032,7.372,1
76.53,2.64,126.0854516,7.372,1
78.08,2.698,126.064,7.372,1
78.83,2.671,126.0766452,7.372,1
74.44,2.621,126.0892903,7.372,1
76.8,2.584,126.1019355,7.372,1
73.54,2.574,126.1145806,7.372,1
64.91,2.594,126.1454667,7.372,1
60.96,2.642,126.1900333,7.372,1
63.96,2.619,126.2346,7.127,1
67.73,2.645,126.2791667,7.127,1
62.03,2.732,126.3266774,7.127,1
64.17,2.736,126.3815484,7.127,1
56.94,2.718,126.4364194,7.127,1
51.6,2.699,126.4912903,7.127,1
52.65,2.741,126.5461613,7.127,1
48.05,2.78,126.6072,7.127,1
48.08,2.752,126.6692667,7.127,1
46.4,2.727,126.7313333,7.127,1
42.4,2.86,126.7934,7.127,1
46.57,2.884,126.8794839,7.127,1
43.21,2.887,126.9835806,7.127,1
38.09,2.955,127.0876774,7.127,1
39.34,2.98,127.1917742,6.51,1
31.6,2.992,127.3009355,6.51,1
38.34,3.017,127.4404839,6.51,1
40.6,3.022,127.5800323,6.51,1
34.61,2.996,127.7195806,6.51,1
33.29,3.033,127.859129,6.51,1
48.17,3.058,127.99525,6.51,1
49.0,3.087,128.13,6.51,1
46.56,3.305,128.26475,6.51,1
50.93,3.461,128.3995,6.51,1
51.86,3.495,128.5121935,6.51,1
59.1,3.48,128.6160645,6.51,1
56.99,3.521,128.7199355,5.946,1
62.61,3.605,128.8238065,5.946,1
62.34,3.724,128.9107333,5.946,1
68.8,3.781,128.9553,5.946,1
64.22,3.781,128.9998667,5.946,1
63.41,3.866,129.0444333,5.946,1
70.65,3.872,129.089,5.946,1
70.49,3.881,129.0756774,5.946,1
73.65,3.771,129.0623548,5.946,1
78.26,3.683,129.0490323,5.946,1
80.05,3.64,129.0357097,5.946,1
83.51,3.618,129.0432,5.946,1
81.85,3.57,129.0663,5.946,1
84.54,3.504,129.0894,5.644,1
84.59,3.469,129.1125,5.644,1
83.27,3.563,129.1338387,5.644,1
82.84,3.627,129.1507742,5.644,1
84.36,3.659,129.1677097,5.644,1
86.09,3.662,129.1846452,5.644,1
82.98,3.617,129.2015806,5.644,1
82.77,3.55,129.2405806,5.644,1
81.47,3.523,129.2832581,5.644,1
77.99,3.533,129.3259355,5.644,1
73.34,3.554,129.3686129,5.644,1
72.76,3.532,129.4306,5.644,1
69.23,3.473,129.5183333,5.644,1
72.15,3.371,129.6060667,5.644,1
65.79,3.299,129.6938,5.143,1
63.75,3.283,129.7706452,5.143,1
64.79,3.361,129.7821613,5.143,1
55.31,3.362,129.7936774,5.143,1
49.86,3.322,129.8051935,5.143,1
47.12,3.286,129.8167097,5.143,1
50.44,3.294,129.8268333,5.143,1
47.96,3.225,129.8364,5.143,1
38.71,3.176,129.8459667,5.143,1
31.64,3.153,129.8555333,5.143,1
36.44,3.149,129.8980645,5.143,1
35.92,3.103,129.9845484,5.143,1
36.89,3.119,130.0710323,5.143,1
38.64,3.158,130.1575161,4.607,1
34.41,3.263,130.244,4.607,1
42.09,3.273,130.2792258,4.607,1
40.31,3.29,130.3144516,4.607,1
41.81,3.354,130.3496774,4.607,1
33.0,3.411,130.3849032,4.607,1
34.19,3.493,130.4546207,4.607,1
41.31,3.541,130.5502069,4.607,1
50.38,3.619,130.6457931,4.607,1
53.63,3.667,130.7413793,4.607,1
59.81,3.707,130.8261935,4.607,1
59.07,3.759,130.8966452,4.607,1
72.63,3.82,130.9670968,4.607,1
67.69,3.864,131.0375484,4.308,1
68.69,3.881,131.108,4.308,1
68.6,3.864,131.1173333,4.308,1
76.47,3.81,131.1266667,4.308,1
80.14,3.747,131.136,4.308,1
67.64,3.685,131.1453333,4.308,1
68.43,3.62,131.0983226,4.308,1
77.47,3.551,131.0287742,4.308,1
77.41,3.483,130.9592258,4.308,1
78.11,3.433,130.8896774,4.308,1
80.94,3.372,130.8295333,4.308,1
81.63,3.329,130.7929,4.308,1
84.23,3.257,130.7562667,4.308,1
80.37,3.187,130.7196333,4.077,1
76.86,3.224,130.683,4.077,1
79.14,3.263,130.7012903,4.077,1
81.06,3.356,130.7195806,4.077,1
83.86,3.374,130.737871,4.077,1
83.21,3.476,130.7561613,4.077,1
81.41,3.552,130.7909677,4.077,1
75.76,3.61,130.8381613,4.077,1
76.47,3.646,130.8853548,4.077,1
82.09,3.709,130.9325484,4.077,1
68.2,3.706,130.9776667,4.077,1
68.97,3.721,131.0103333,4.077,1
71.74,3.666,131.043,4.077,1
63.07,3.62,131.0756667,3.879,1
57.11,3.603,131.1083333,3.879,1
64.46,3.61,131.1499677,3.879,1
63.64,3.514,131.1930968,3.879,1
39.7,2.572,211.6539716,6.566,0
39.81,2.548,211.8004698,6.566,0
41.14,2.514,211.8471283,6.566,0
46.7,2.561,211.8771468,6.566,0
48.89,2.625,211.9071653,6.566,0
58.5,2.667,211.9371839,6.566,0
55.46,2.72,211.770897,6.566,0
52.47,2.732,211.5718925,6.566,0
63.18,2.719,211.372888,6.465,0
65.19,2.77,211.1738835,6.465,0
65.3,2.808,211.0388528,6.465,0
65.13,2.795,210.9891204,6.465,0
67.53,2.78,210.939388,6.465,0
71.53,2.835,210.8896556,6.465,0
74.79,2.854,210.8872772,6.465,0
75.2,2.826,211.169023,6.465,0
79.81,2.759,211.4507688,6.465,0
79.54,2.705,211.7325146,6.465,0
80.7,2.668,212.0142605,6.465,0
83.91,2.637,212.0119769,6.465,0
83.72,2.653,211.8960815,6.465,0
81.25,2.669,211.7801861,6.496,0
81.14,2.642,211.6642907,6.496,0
83.98,2.623,211.6561123,6.496,0
83.66,2.608,211.7915565,6.496,0
82.46,2.64,211.9270006,6.496,0
86.1,2.627,212.0624447,6.496,0
87.41,2.692,212.1978889,6.496,0
87.71,2.664,212.1608984,6.496,0
87.05,2.619,212.123908,6.496,0
84.06,2.577,212.0869176,6.496,0
79.86,2.565,212.0499271,6.496,0
82.28,2.582,212.0769346,6.496,0
78.53,2.624,212.1519404,6.496,0
71.1,2.603,212.2269463,6.768,0
64.99,2.633,212.3019522,6.768,0
68.11,2.72,212.3691867,6.768,0
70.96,2.725,212.4169928,6.768,0
70.58,2.716,212.464799,6.768,0
58.88,2.689,212.5126051,6.768,0
62.37,2.728,212.5604113,6.768,0
52.52,2.771,212.445487,6.768,0
66.15,2.735,212.303441,6.768,0
51.31,2.708,212.1613951,6.768,0
48.27,2.843,212.0193491,6.768,0
51.61,2.869,211.9580815,6.768,0
55.01,2.886,211.9573978,6.768,0
49.79,2.943,211.9567142,6.768,0
48.3,2.976,211.9560305,6.634,0
37.74,2.983,212.008514,6.634,0
45.41,3.016,212.3800012,6.634,0
44.5,3.01,212.7514884,6.634,0
41.67,2.989,213.1229755,6.634,0
38.25,3.022,213.4944627,6.634,0
58.83,3.045,213.8068304,6.634,0
63.35,3.065,214.0955503,6.634,0
60.35,3.288,214.3842702,6.634,0
55.74,3.459,214.6729901,6.634,0
64.31,3.488,214.9257339,6.634,0
70.71,3.473,215.1640872,6.634,0
61.5,3.524,215.4024406,6.489,0
69.64,3.622,215.6407939,6.489,0
72.02,3.743,215.8592673,6.489,0
74.34,3.807,216.0280407,6.489,0
74.75,3.81,216.1968142,6.489,0
66.27,3.906,216.3655877,6.489,0
77.38,3.899,216.5343611,6.489,0
71.37,3.907,216.3023847,6.489,0
80.14,3.786,216.0704083,6.489,0
83.81,3.699,215.8384319,6.489,0
83.61,3.648,215.6064555,6.489,0
86.84,3.637,215.560463,6.489,0
84.76,3.594,215.6539583,6.489,0
85.81,3.524,215.7474537,6.529,0
86.64,3.48,215.8409491,6.529,0
88.64,3.575,215.9250696,6.529,0
86.97,3.651,215.985753,6.529,0
89.42,3.682,216.0464364,6.529,0
91.07,3.684,216.1071198,6.529,0
90.16,3.638,216.1678032,6.529,0
89.35,3.554,216.2311855,6.529,0
89.18,3.523,216.2950176,6.529,0
90.38,3.533,216.3588498,6.529,0
79.04,3.546,216.4226819,6.529,0
83.55,3.526,216.6033083,6.529,0
78.01,3.467,216.9396605,6.529,0
81.16,3.355,217.2760127,6.529,0
71.64,3.285,217.6123648,6.3,0
72.36,3.274,217.9237458,6.3,0
66.9,3.353,218.0852999,6.3,0
69.27,3.372,218.2468539,6.3,0
56.71,3.332,218.408408,6.3,0
60.71,3.297,218.5699621,6.3,0
64.33,3.308,218.793912,6.3,0
61.93,3.236,219.0428204,6.3,0
51.14,3.172,219.2917287,6.3,0
44.12,3.158,219.540637,6.3,0
54.42,3.159,219.7596266,6.3,0
50.33,3.112,219.9387246,6.3,0
45.62,3.129,220.1178226,6.3,0
50.21,3.157,220.2969205,5.943,0
48.86,3.261,220.4760185,5.943,0
54.65,3.268,220.5694104,5.943,0
54.63,3.29,220.6628023,5.943,0
57.35,3.36,220.7561941,5.943,0
48.57,3.409,220.849586,5.943,0
48.25,3.51,221.0106341,5.943,0
57.75,3.555,221.2224243,5.943,0
60.66,3.63,221.4342146,5.943,0
57.69,3.669,221.6460048,5.943,0
63.55,3.734,221.7989713,5.943,0
64.44,3.787,221.8735063,5.943,0
67.76,3.845,221.9480412,5.943,0
70.4,3.891,222.0225762,5.801,0
70.56,3.891,222.0971111,5.801,0
67.33,3.877,222.1512315,5.801,0
68.96,3.814,222.2053519,5.801,0
77.1,3.749,222.2594722,5.801,0
73.45,3.688,222.3135926,5.801,0
70.45,3.63,222.330443,5.801,0
78.23,3.561,222.3323853,5.801,0
79.72,3.501,222.3343277,5.801,0
81.02,3.452,222.33627,5.801,0
81.64,3.393,222.3492901,5.801,0
80.57,3.346,222.3900046,5.801,0
87.08,3.286,222.4307191,5.801,0
82.35,3.227,222.4714336,5.603,0
80.78,3.256,222.5121481,5.603,0
81.05,3.311,222.5209358,5.603,0
