CustomerId;CreditScore;Age;Tenure;EstimatedSalary;IsActiveMember;Exited
15754849;776;32;4;126517,46;SI ES;0
15602280;829;27;9;119708,21;SI ES;1
15771573;637;39;9;117622,8;SI ES;1
15766205;550;38;2;90878,13;SI ES;0
15771873;776;37;2;194099,12;NO ES;0
15616550;698;44;10;198059,16;NO ES;0
15768193;585;36;5;86424,57;NO ES;0
15683553;788;33;5;116978,19;NO ES;0
15702298;655;41;8;164040,94;NO ES;1
15569590;601;42;1;40014,76;NO ES;1
15760861;619;43;1;113410,49;SI ES;0
15630053;656;45;5;87107,57;NO ES;0
15647091;725;19;0;45613,75;NO ES;0
15623944;511;66;4;1643,11;NO ES;1
15804771;614;51;4;46775,28;SI ES;0
15651280;742;35;5;84509,57;NO ES;0
15773469;687;27;9;126494,82;NO ES;0
15702014;555;33;1;178798,13;NO ES;0
15751208;684;56;8;99398,36;SI ES;0
15592461;603;26;4;92840,67;SI ES;0
15789484;751;36;6;27758,36;SI ES;0
15696061;581;34;1;110431,51;NO ES;0
15641582;735;43;10;196673,28;SI ES;0
15638424;661;35;5;113656,85;SI ES;0
15755648;675;21;8;18203;NO ES;0
15703793;738;58;2;28373,86;NO ES;1
15620344;813;29;6;33953,87;NO ES;0
15812518;657;37;0;44203,55;SI ES;0
15779052;604;25;5;58426,81;SI ES;0
15770811;519;36;9;145562,4;SI ES;0
15780961;735;21;1;22388;NO ES;0
15614049;664;55;8;139161,64;SI ES;0
15662085;678;32;9;148210,64;SI ES;0
15575185;757;33;5;194239,63;SI ES;0
15803136;416;41;10;98301,61;NO ES;0
15706021;665;34;1;171413,66;NO ES;0
15663706;777;32;2;136458,19;NO ES;1
15641732;543;36;3;26019,59;NO ES;0
15701164;506;34;4;159235,29;SI ES;0
15738751;493;46;4;1907,66;NO ES;0
15805254;652;75;10;114675,75;SI ES;0
15762418;750;22;3;128643,35;NO ES;1
15625759;729;30;9;151869,35;NO ES;0
15622897;646;46;4;93251,42;NO ES;1
15767954;635;28;3;156791,36;SI ES;0
15757535;647;44;5;174205,22;SI ES;1
15731511;808;45;7;147132,46;NO ES;0
15809248;524;36;10;109614,57;NO ES;0
15640635;769;29;8;172290,61;SI ES;0
15676966;730;42;4;85982,47;SI ES;0
15699461;515;35;10;121277,78;SI ES;0
15738721;773;41;9;64595,25;SI ES;0
15693683;814;29;8;197276,13;SI ES;0
15604348;710;22;8;99645,04;NO ES;0
15633059;413;34;9;6534,18;NO ES;0
15808582;665;40;6;161848,03;SI ES;0
15743192;623;44;6;167162,43;NO ES;0
15580146;738;31;9;41970,72;NO ES;0
15776605;528;36;7;60536,56;NO ES;0
15804919;670;65;1;177655,68;SI ES;1
15613854;622;46;4;30984,59;SI ES;1
15599195;582;32;1;10054,53;SI ES;0
15812878;785;36;2;36976,52;SI ES;0
15602312;605;33;5;71862,79;NO ES;0
15744689;479;35;9;99449,86;NO ES;1
15803526;685;30;3;63082,88;SI ES;0
15665790;538;39;7;27231,26;NO ES;0
15715951;562;42;2;86797,41;NO ES;0
15591100;675;36;9;22994,32;SI ES;0
15609618;721;28;9;101300,94;SI ES;1
15675522;628;30;9;74169,13;SI ES;0
15705512;668;37;6;115638,29;NO ES;0
15698028;506;41;1;31766,3;NO ES;0
15661670;524;31;8;199725,39;NO ES;1
15600781;699;34;4;120834,48;NO ES;0
15682472;828;34;8;38131,77;NO ES;0
15580203;674;39;6;100130,95;NO ES;0
15690673;656;39;6;141069,88;NO ES;0
15760085;684;48;10;198129,36;SI ES;0
15779659;625;28;3;183646,41;NO ES;0
15627360;432;42;9;110265,24;NO ES;1
15671137;549;52;1;8636,05;SI ES;1
15782688;625;56;0;46824,08;NO ES;1
15575492;828;41;7;171378,77;NO ES;0
15591607;770;24;9;167256,35;NO ES;0
15740404;758;34;3;124226,16;SI ES;0
15718369;795;33;9;114935,21;SI ES;0
15677871;687;38;9;35608,88;SI ES;0
15642004;686;25;1;16459,37;SI ES;0
15712543;789;39;7;124411,08;SI ES;0
15584518;589;50;5;34941,23;SI ES;0
15802381;461;34;5;167784,28;SI ES;0
15610156;637;40;2;93165,34;SI ES;0
15594408;584;48;2;75161,25;NO ES;1
15640905;579;35;1;8590,83;SI ES;1
15698932;756;44;10;189543,9;NO ES;0
15724944;663;34;7;180427,24;SI ES;0
15628145;682;43;5;193318,33;SI ES;0
15713483;793;52;2;159123,82;NO ES;1
15612350;691;31;5;126213,84;NO ES;1
15800703;485;21;5;54141,5;SI ES;0
15705707;635;29;8;141075,51;NO ES;0
15754105;650;37;5;24495,03;NO ES;0
15703264;735;44;9;74836,34;NO ES;0
15794413;416;32;0;878,87;SI ES;0
15650237;754;32;7;89520,75;NO ES;0
15759618;535;48;9;149892,79;NO ES;1
15811589;716;42;8;180800,42;NO ES;0
15689044;539;37;2;98646,22;NO ES;0
15709368;614;43;6;109041,53;SI ES;0
15679145;706;57;7;17941,16;NO ES;1
15655007;758;33;7;82996,47;NO ES;0
15623595;586;28;2;92067,35;SI ES;0
15589975;646;73;6;104719,66;SI ES;0
15804017;631;33;4;112687,57;NO ES;0
15692132;717;22;6;84699,56;SI ES;0
15641122;684;30;2;83473,82;NO ES;0
15630910;800;49;7;47125,11;NO ES;0
15680772;721;36;2;106977,8;SI ES;0
15658929;683;29;0;55582,54;NO ES;1
15585388;660;31;9;139874,43;SI ES;0
15724623;704;24;7;162503,48;NO ES;1
15588537;615;41;9;196499,96;NO ES;0
15574692;667;39;2;40721,24;NO ES;1
15611325;682;24;9;53134,3;NO ES;0
15587562;484;29;4;164017,89;NO ES;0
15613172;628;27;5;155996,96;NO ES;0
15651022;480;44;10;5472,7;NO ES;1
15586310;578;30;4;112187,11;NO ES;0
15625524;512;40;5;146457,83;SI ES;0
15755209;484;35;7;27286,1;SI ES;0
15645248;510;30;0;130553,47;SI ES;0
15790355;606;36;5;179351,89;NO ES;0
15762615;597;40;8;94774,12;SI ES;0
15625426;754;55;3;8080,85;NO ES;1
15716334;850;45;2;19482,5;SI ES;0
15789669;510;65;2;48071,61;SI ES;0
15621075;778;45;1;174531,27;NO ES;0
15810845;636;42;2;55470,78;SI ES;0
15719377;804;50;4;8546,87;SI ES;1
15654506;514;32;8;95857,18;NO ES;0
15771977;730;39;1;194945,8;NO ES;0
15708710;525;37;0;131521,72;SI ES;0
15726676;616;30;5;196108,51;SI ES;0
15587421;687;34;7;148564,76;NO ES;0
15726931;715;41;8;92982,61;NO ES;1
15771086;512;36;3;17675,36;NO ES;0
15756850;479;40;1;114996,43;NO ES;0
15702741;601;32;8;86957,42;NO ES;0
15679200;580;29;9;128077,8;NO ES;0
15594815;807;35;3;600,36;SI ES;0
15635905;616;32;6;43001,46;SI ES;0
15777892;721;37;3;158591,12;SI ES;0
15656176;501;57;10;47847,19;SI ES;0
15811127;521;35;6;10488,44;NO ES;0
15604482;850;30;2;5978,2;SI ES;0
15622911;759;42;4;121409,06;SI ES;0
15600974;516;50;5;146145,93;SI ES;1
15727868;711;38;2;14374,86;SI ES;1
15627801;512;33;3;94670,77;NO ES;0
15773039;550;37;3;179670,31;SI ES;0
15755262;608;41;3;199304,74;NO ES;1
15679531;618;34;5;151954,39;SI ES;0
15684181;643;45;5;142513,5;NO ES;1
15612087;671;45;2;158264,62;SI ES;0
15752047;689;33;2;169381,9;NO ES;0
15624592;603;31;8;169915,02;SI ES;0
15573152;620;41;9;88852,47;NO ES;0
15594917;676;34;1;40645,81;SI ES;0
15785542;572;26;4;60427,3;NO ES;0
15723488;668;47;7;157959,02;SI ES;1
15680920;695;46;7;133007,34;NO ES;0
15786308;730;33;9;176576,62;NO ES;0
15659366;807;43;1;34888,04;NO ES;1
15774854;592;54;8;28737,71;SI ES;1
15725311;726;31;9;98178,57;SI ES;0
15787155;514;30;7;125010,24;SI ES;0
15727829;567;42;2;167984,61;SI ES;0
15733247;850;33;10;4861,72;NO ES;1
15568748;671;45;6;108872,45;SI ES;1
15699029;670;37;4;198252,88;NO ES;0
15774393;694;30;9;26960,31;SI ES;0
15676895;547;39;6;85746,52;SI ES;1
15637753;751;50;2;77206,25;NO ES;1
15605461;594;29;3;61048,53;NO ES;0
15808473;673;72;1;111981,19;SI ES;0
15627000;610;40;0;62232,6;NO ES;0
15787174;512;37;1;156105,03;SI ES;0
15723886;767;20;3;150135,38;SI ES;0
15704769;585;67;5;93146,11;SI ES;0
15772896;763;42;6;33462,94;NO ES;1
15711540;712;29;2;144375;SI ES;0
15764866;539;43;3;55803,96;NO ES;1
15794056;668;46;2;89048,46;NO ES;1
15795149;703;28;2;162812,16;SI ES;0
15812009;662;38;4;136259,65;NO ES;0
15651001;725;39;5;124052,97;NO ES;0
15813844;703;37;8;74158,8;SI ES;0
15596175;659;67;6;45071,09;SI ES;1
15576269;523;34;7;62030,06;NO ES;0
15797219;635;40;10;131953,23;NO ES;1
15685500;772;26;7;79414;NO ES;0
15599792;545;26;1;199638,56;SI ES;0
15657566;634;24;8;157577,29;SI ES;0
15772423;739;54;8;134420,75;NO ES;1
15628112;771;36;5;99805,99;NO ES;0
15753754;587;34;1;97932,68;SI ES;0
15793726;681;79;0;170968,99;SI ES;0
15694717;544;37;2;57558,95;SI ES;0
15665834;696;28;8;176713,47;NO ES;0
15765297;766;41;0;34283,23;SI ES;0
15636684;727;34;10;198637,34;SI ES;0
15592979;671;34;6;156917,12;NO ES;0
15750803;693;30;6;50457,2;SI ES;0
15607178;850;38;3;140075,55;SI ES;0
15713853;732;42;9;65323,11;SI ES;0
15673481;726;48;6;64323,24;NO ES;0
15686776;557;32;6;14956,44;NO ES;0
15673693;682;26;0;111879,21;SI ES;0
15700696;738;31;9;18606,23;SI ES;0
15813163;531;36;9;123137,01;NO ES;0
15653857;498;34;2;148528,24;SI ES;0
15777076;651;36;7;13898,31;NO ES;0
15717398;549;39;7;81259,25;NO ES;1
15799217;791;35;7;161051,75;NO ES;0
15787071;650;41;9;191599,67;SI ES;0
15619955;733;34;3;48559,19;NO ES;1
15796505;811;34;1;186339,74;SI ES;0
15725166;707;30;8;33159,37;NO ES;0
15800116;712;28;4;93883,53;SI ES;0
15758685;706;37;7;110899,3;SI ES;0
15694456;756;62;3;11199,04;SI ES;1
15767339;777;53;10;189992,97;NO ES;0
15683562;646;35;6;164255,69;SI ES;0
15782210;714;46;1;152167,79;NO ES;1
15668893;782;39;8;33949,67;SI ES;0
15669169;775;29;10;68143,93;SI ES;0
15643024;479;35;4;47251,79;SI ES;1
15699389;807;42;7;25885,72;SI ES;0
15708608;799;22;8;192633,85;SI ES;0
15626144;675;40;7;34577,36;NO ES;0
15573112;602;29;5;161229,84;NO ES;0
15790678;475;32;8;100816,29;NO ES;0
15727556;744;26;5;181694,44;SI ES;0
15697307;588;34;10;79078,91;NO ES;0
15652266;703;42;9;137316,32;SI ES;0
15607098;747;41;5;194926,86;NO ES;0
15655774;583;27;7;51285,49;NO ES;0
15590241;750;34;9;150401,53;NO ES;1
15785819;681;38;3;112491,96;SI ES;0
15723654;773;25;2;73656,38;NO ES;0
15774510;714;31;4;106636,89;SI ES;0
15684173;687;44;7;155853,52;NO ES;1
15650068;511;58;0;162599,51;SI ES;0
15811490;627;33;5;103737,82;SI ES;0
15803976;694;31;10;160990,27;NO ES;0
15682541;616;36;6;15462,84;NO ES;0
15695699;687;35;8;10334,05;NO ES;0
15624188;712;33;6;190686,16;SI ES;0
15812191;553;33;4;94440,45;NO ES;0
15636673;667;31;1;28257,63;SI ES;0
15594898;731;43;2;170034,95;SI ES;1
15660211;629;35;7;31824,29;NO ES;0
15773972;614;50;4;127166,49;NO ES;1
15746726;438;31;8;44937,01;NO ES;0
15712287;652;80;4;188603,07;SI ES;0
15702919;729;30;6;145111,37;NO ES;0
15674398;642;38;3;171463,83;NO ES;0
15797960;806;59;0;182822,5;NO ES;0
15631868;744;36;2;87213,33;SI ES;0
15581539;474;37;3;57175,32;NO ES;0
15662736;559;49;2;120540,83;NO ES;1
15666252;706;42;9;28714,34;SI ES;0
15677512;628;22;3;85426,28;NO ES;0
15626114;429;24;4;46170,75;NO ES;0
15810834;525;57;2;64448,36;SI ES;0
15678910;680;30;8;16278,97;SI ES;0
15694408;749;40;1;182855,42;NO ES;1
15585215;763;31;4;50404,72;NO ES;0
15682757;734;30;3;107640,25;NO ES;0
15736601;716;35;4;134132,65;NO ES;0
15601848;594;35;2;103480,69;NO ES;0
15736008;644;46;9;108761,05;NO ES;1
15669064;671;35;1;179012,3;SI ES;0
15624528;664;26;7;95145,14;SI ES;0
15598493;656;50;7;72143,44;SI ES;0
15601274;667;40;1;19162,89;NO ES;0
15702669;663;44;2;144680,18;SI ES;0
15728669;584;30;8;177772,03;NO ES;1
15742668;626;37;6;5597,94;NO ES;0
15697441;485;29;7;116828,51;NO ES;1
15740476;659;32;3;174652,51;SI ES;0
15648064;649;33;2;2010,98;NO ES;0
15636624;805;39;5;14109,85;NO ES;1
15807923;716;39;10;43527,4;NO ES;1
15745844;642;40;6;86099,23;SI ES;1
15786170;659;31;4;161574,19;NO ES;0
15681081;545;47;5;38970,14;SI ES;0
15684484;543;22;8;127587,22;NO ES;0
15785869;718;25;7;30380,12;NO ES;0
15763859;840;43;7;90908,95;NO ES;0
15658935;630;34;9;138275,01;NO ES;0
15747358;643;59;3;32171,79;SI ES;0
15735203;654;32;1;126143,23;SI ES;0
15576256;582;39;5;129892,93;SI ES;0
15659420;659;32;3;102416,84;SI ES;0
15593365;762;39;2;18719,67;SI ES;0
15777352;568;32;7;61936,22;NO ES;0
15812007;670;25;6;78358,94;SI ES;0
15625461;613;45;1;147224,27;SI ES;0
15739438;539;30;0;160979,66;NO ES;0
15611759;850;57;8;132298,49;SI ES;0
15661629;522;34;9;174248,52;NO ES;1
15633950;737;41;1;123547,28;SI ES;0
15592386;520;58;3;32790,02;SI ES;0
15803716;706;28;3;181543,67;SI ES;0
15696674;643;45;2;2319,96;SI ES;1
15706365;648;50;9;189543,19;SI ES;0
15745088;443;29;9;10940,4;NO ES;0
15676715;640;68;9;199493,38;SI ES;0
15613085;628;33;3;188193,25;SI ES;0
15633537;540;42;9;172572,64;NO ES;0
15594720;460;35;8;189339,6;SI ES;0
15684042;636;34;2;53512,16;SI ES;0
15583303;593;29;2;34004,44;NO ES;0
15611579;801;42;4;10598,29;SI ES;0
15774696;640;75;1;113428,77;SI ES;0
15694506;611;31;0;183487,98;SI ES;0
15688074;802;31;1;187658,09;SI ES;0
15759537;717;35;7;172459,39;SI ES;0
15758449;769;39;8;21016;SI ES;0
15583456;745;45;10;122381,02;SI ES;1
15667871;572;35;4;128123,66;NO ES;0
15677371;629;30;2;19570,63;NO ES;0
15629677;687;39;2;188150,6;NO ES;1
15713578;483;50;9;111020,24;SI ES;0
15591509;690;36;7;123775,15;NO ES;0
15568240;492;30;10;146700,22;SI ES;0
15622993;709;28;8;145251,35;NO ES;0
15689294;705;44;3;82463,69;NO ES;0
15720910;560;66;9;15928,49;SI ES;0
15721181;611;46;6;45886,33;NO ES;0
15776433;730;62;2;186489,95;SI ES;0
15748936;709;45;2;162922,65;SI ES;0
15717225;544;21;10;9262,77;NO ES;0
15685226;712;29;7;84932,4;SI ES;0
15785611;752;38;3;71557,12;SI ES;0
15573456;648;46;9;77405,95;NO ES;1
15684548;556;38;8;417,41;NO ES;1
15620505;594;24;0;71405,17;SI ES;0
15807432;645;37;2;153400,24;SI ES;0
15584766;557;33;3;371,05;SI ES;0
15612187;547;32;8;67789,99;NO ES;0
15762218;701;39;9;145894,9;SI ES;0
15646372;616;66;1;183840,51;NO ES;1
15690452;605;52;1;108887,44;NO ES;0
15747795;593;38;4;154071,27;SI ES;0
15781589;751;52;8;179291,85;SI ES;0
15732674;443;36;6;56937,43;SI ES;0
15642291;685;23;8;112239,03;SI ES;0
15692761;718;36;9;45909,87;NO ES;0
15578045;538;49;9;173779,25;NO ES;1
15745354;611;37;4;125696,26;NO ES;0
15701376;668;37;10;159585,61;SI ES;0
15691625;537;41;3;106761,47;NO ES;0
15566594;709;23;10;129590,18;NO ES;0
15760431;850;38;1;80006,65;SI ES;0
15686302;745;31;3;140451,52;SI ES;0
15801559;693;41;9;187929,43;SI ES;1
15810432;795;35;8;167155,36;NO ES;0
15809616;626;26;8;191420,71;NO ES;0
15720559;487;61;5;11384,45;NO ES;1
15695632;556;39;9;94898,1;SI ES;0
15659843;643;46;6;106781,59;NO ES;0
15615624;605;28;6;159508,52;NO ES;0
15810418;756;60;3;93524,19;NO ES;1
15716186;586;38;2;87168,46;NO ES;0
15674551;535;40;7;8128,32;NO ES;1
15622834;678;35;4;125518,32;NO ES;0
15566111;596;39;9;48963,59;NO ES;0
15784597;648;26;9;98368,24;NO ES;0
15652883;492;39;10;148584,61;NO ES;0
15806964;702;45;0;27474,81;SI ES;0
15576313;486;40;9;76192,21;NO ES;0
15806467;568;40;1;134600,94;NO ES;1
15597602;619;57;3;72467,99;SI ES;1
15743040;724;41;2;199645,45;SI ES;0
15705521;548;33;0;42749,85;NO ES;0
15595039;545;37;8;136050,44;NO ES;1
15799384;683;33;8;73564,44;NO ES;0
15581197;762;51;3;85578,63;SI ES;0
15693737;627;30;4;129826,89;NO ES;0
15624623;516;35;10;119666;NO ES;0
15783501;800;38;2;68052,08;NO ES;0
15690134;464;42;3;164104,74;SI ES;0
15782735;626;35;3;80190,36;NO ES;0
15611088;790;31;9;84126,75;NO ES;0
15672145;534;34;7;70179;SI ES;0
15732628;745;46;2;118024,1;SI ES;0
15787470;553;47;3;145704,19;NO ES;1
15803406;748;26;1;183049,41;SI ES;0
15730460;722;37;2;120906,83;NO ES;0
15644572;501;40;4;100433,83;SI ES;0
15694860;675;38;6;138777;NO ES;1
15658169;778;47;6;124694,99;NO ES;0
15794396;494;38;7;40084,32;NO ES;0
15785798;850;40;9;119232,33;SI ES;0
15710825;592;31;7;43921,36;NO ES;0
15668444;590;44;3;62222,81;NO ES;0
15726631;758;39;6;56577;SI ES;0
15733797;506;36;5;164253,35;NO ES;0
15747960;733;33;3;7666,73;SI ES;0
15634632;711;38;3;68487,51;NO ES;0
15707362;514;43;1;199273,98;SI ES;1
15662976;637;37;8;186062,36;SI ES;0
15732778;468;29;1;195711,16;SI ES;0
15718443;539;39;3;36692,17;NO ES;0
15670039;509;25;3;106920,57;NO ES;0
15773792;662;32;4;48725,68;SI ES;1
15613786;818;26;4;167036,94;SI ES;0
15726032;608;33;9;68777,26;NO ES;0
15663252;850;32;9;18924,92;SI ES;0
15593782;816;38;5;71905,77;NO ES;1
15633283;536;35;8;64833,28;NO ES;0
15749167;753;35;3;184843,77;SI ES;0
15759298;631;27;10;176730,02;SI ES;0
15683625;703;37;1;20629,4;NO ES;1
15635367;774;26;2;28415,36;NO ES;0
15681705;785;28;8;77231,27;NO ES;0
15603156;571;33;1;102750,7;NO ES;0
15591986;621;46;6;34580,8;NO ES;1
15798888;605;31;1;183598,77;SI ES;0
15809722;611;40;8;147358,27;NO ES;0
15677538;569;38;7;108469,2;SI ES;0
15797736;658;29;4;20612,82;SI ES;0
15695585;788;34;6;181196,76;SI ES;0
15744398;525;23;5;160249,1;NO ES;0
15750658;798;37;8;110783,28;NO ES;0
15578186;486;37;9;144995,33;NO ES;0
15676519;615;61;9;150227,85;NO ES;1
15637954;730;35;0;53718,28;SI ES;0
15758639;641;37;7;75248,3;NO ES;0
15613772;542;39;3;14353,43;SI ES;1
15731744;692;30;2;130486,57;SI ES;0
15807709;714;55;9;100127,71;SI ES;0
15714689;591;29;1;196356,17;SI ES;0
15699005;710;41;2;9983,88;SI ES;0
15624170;639;38;4;118974,77;SI ES;0
15725679;531;47;6;194998,34;NO ES;1
15585865;673;38;2;134901,34;NO ES;1
15804256;765;36;8;72924,56;SI ES;0
15662403;622;32;6;101057,95;NO ES;0
15733616;806;40;5;142838,64;SI ES;0
15591995;757;26;8;127059,04;SI ES;0
15677020;570;58;8;116503,92;SI ES;1
15727688;555;32;4;54405,79;SI ES;0
15715941;692;54;5;88721,84;SI ES;0
15714485;774;60;5;74135,48;NO ES;1
15730059;638;44;9;111346,22;SI ES;0
15715527;543;41;4;194902,16;NO ES;0
15576623;584;31;5;31474,27;NO ES;0
15805565;691;30;7;21198,39;NO ES;0
15677307;684;40;6;186976,6;NO ES;0
15773890;733;22;5;117202,19;SI ES;0
15598883;599;37;2;143739,29;SI ES;0
15568506;524;31;10;161811,23;SI ES;0
15761043;632;38;6;98090,91;NO ES;0
15782236;735;34;5;71095,41;NO ES;0
15593601;734;34;6;13107,24;SI ES;0
15682048;605;51;3;67110,59;SI ES;1
15746902;793;38;9;88225,02;NO ES;0
15752081;468;56;10;62256,87;SI ES;1
15781307;779;37;7;135925,72;NO ES;0
15775912;698;48;4;177815,87;SI ES;1
15745417;707;58;6;126471,13;SI ES;0
15671256;850;35;1;188574,12;NO ES;1
15653547;850;56;7;119175,45;SI ES;0
15595766;527;37;5;139093,73;SI ES;0
15742358;696;32;8;115916,55;SI ES;0
15763274;661;48;3;96463,25;NO ES;0
15786063;776;31;2;112349,51;SI ES;0
15600258;701;43;2;165303,79;SI ES;0
15573318;610;26;8;166031,08;NO ES;0
15653849;572;48;3;38411,79;NO ES;1
15694272;673;30;1;77783,35;SI ES;0
15736112;519;57;2;29871,79;SI ES;0
15749851;702;26;4;59747,63;SI ES;0
15663478;729;32;6;79919,13;SI ES;0
15592300;543;35;10;76773,53;NO ES;0
15567832;550;40;7;54018,93;NO ES;0
15776780;608;59;1;70649,64;NO ES;1
15592846;639;35;10;59093,39;NO ES;0
15739803;686;34;9;127569,8;NO ES;0
15794142;564;62;5;18260,98;SI ES;1
15762729;745;28;1;73275,96;NO ES;1
15667896;833;37;8;136129,49;SI ES;0
15626578;622;26;9;153237,59;SI ES;0
15776223;597;42;4;106841,12;SI ES;0
15705953;721;51;0;109078,35;NO ES;1
15802593;504;49;7;87822,14;SI ES;1
15615457;842;44;2;126644,98;NO ES;0
15708916;587;38;0;47414,15;NO ES;0
15720187;479;30;7;41879,99;NO ES;0
15595440;508;49;7;75808,1;SI ES;0
15600651;749;24;1;47911,03;SI ES;0
15750141;721;36;3;28737,78;NO ES;0
15657284;674;47;6;2079,2;SI ES;1
15763063;685;25;10;121562,33;NO ES;0
15709324;417;34;7;55003,79;NO ES;0
15711309;574;33;3;193131,42;NO ES;0
15775318;590;51;3;191932,27;SI ES;1
15705515;587;40;5;159418,1;NO ES;0
15634844;598;41;3;191468,78;NO ES;1
15717046;741;53;3;38913,68;SI ES;0
15571816;850;70;5;705,18;SI ES;0
15670080;584;29;7;138490,03;SI ES;0
15800440;650;61;1;82970,69;SI ES;0
15665678;607;36;8;76744,72;SI ES;0
15665956;509;46;1;71244,59;NO ES;1
15788126;689;38;6;12182,15;SI ES;0
15811773;543;36;4;141210,5;SI ES;0
15651674;438;54;2;191763,07;NO ES;1
15689614;687;63;1;37938,74;SI ES;0
15795564;737;31;5;74890,58;SI ES;0
15706647;761;31;7;166698,18;SI ES;0
15728505;601;44;1;62678,53;SI ES;0
15730076;651;45;1;67740,08;NO ES;1
15622003;745;35;9;161519,77;NO ES;0
15607312;648;49;10;159835,78;SI ES;1
15644753;848;40;3;30876,84;SI ES;0
15653620;546;27;8;14858,1;SI ES;0
15761986;439;32;3;75685,97;NO ES;0
15633922;755;30;4;144183,1;SI ES;0
15734674;593;41;6;65170,66;NO ES;0
15658032;701;39;2;82526,92;SI ES;0
15692671;701;36;8;169161,46;NO ES;0
15737741;607;33;2;109291,39;SI ES;1
15576352;586;57;3;6057,81;SI ES;0
15753719;547;30;9;77077,14;NO ES;0
15803689;647;51;1;54954,51;NO ES;1
15718057;760;51;2;179614,8;NO ES;1
15722010;621;53;9;35588,07;NO ES;1
15680998;725;44;5;117356,14;SI ES;0
15614782;526;36;1;160696,72;NO ES;0
15591047;519;47;6;147278,43;NO ES;1
15788291;713;38;7;56594,36;SI ES;1
15604044;700;38;8;1299,75;NO ES;0
15679587;666;34;9;25095,03;SI ES;0
15775153;630;32;4;146326,45;NO ES;0
15603925;779;26;4;38296,21;SI ES;0
15680970;611;41;2;164061,6;NO ES;0
15697183;685;43;9;107811,28;NO ES;0
15567446;646;39;9;30838,51;SI ES;0
15637476;683;57;5;9221,78;NO ES;1
15714939;484;34;4;33738,27;SI ES;0
15683503;601;43;8;110916,15;SI ES;1
15645569;762;26;7;169654,57;SI ES;0
15782569;687;72;9;69829,4;SI ES;0
15592387;566;30;5;54926,51;NO ES;1
15609286;702;37;10;94728,49;SI ES;0
15814035;601;29;9;80393,27;SI ES;0
15661249;699;53;4;111307,98;SI ES;0
15629117;584;28;10;19834,32;NO ES;0
15607170;699;35;5;78397,24;SI ES;0
15586585;698;51;2;86410,28;NO ES;0
15686611;495;30;10;172749,65;NO ES;0
15603203;650;27;6;1002,39;NO ES;0
15619857;605;64;2;13601,79;SI ES;0
15805062;667;38;1;77866,91;SI ES;0
15660271;688;26;8;175296,76;SI ES;0
15745295;727;31;0;121751,04;NO ES;1
15719352;754;39;6;89593,26;NO ES;0
15766575;612;62;8;193437,89;NO ES;1
15594594;546;42;7;86945;SI ES;0
15646161;673;37;8;183318,79;SI ES;0
15682585;593;35;9;71154,1;NO ES;0
15603134;656;40;10;151887,16;SI ES;0
15636444;535;53;5;75888,65;SI ES;0
15773456;678;36;3;89566,74;SI ES;0
15745307;477;48;2;26475,79;SI ES;0
15604119;850;35;7;126355,8;NO ES;0
15626900;427;29;1;93839,3;SI ES;0
15605447;752;49;2;7698,6;NO ES;0
15589030;649;47;1;145593,85;SI ES;0
15692463;799;28;3;45042,56;NO ES;0
15712403;589;61;1;61108,56;NO ES;1
15811762;583;54;6;57553,98;NO ES;1
15718673;839;33;10;62674,42;NO ES;0
